# items.csv - 아이템 데이터
# id,name,grade,type,rarity,stats,dropRate
# grade: 1-5 (common=1, rare=2, epic=3, legendary=4, mythic=5)
# stats: weapon=attackBonus(%), armor=defenseBonus(%), boots=moveSpeed, accessory=hpBonus(%)
id,name,grade,type,rarity,stats,dropRate
1,bronze_sword,1,weapon,common,"{""attackBonus"":2}",0.3
2,bronze_sword,2,weapon,rare,"{""attackBonus"":2.3}",0.25
3,bronze_sword,3,weapon,epic,"{""attackBonus"":2.6}",0.15
4,bronze_sword,4,weapon,legendary,"{""attackBonus"":3}",0.05
5,bronze_sword,5,weapon,mythic,"{""attackBonus"":4}",0.01
6,iron_sword,6,weapon,common,"{""attackBonus"":12}",0.3
7,iron_sword,7,weapon,rare,"{""attackBonus"":13.8}",0.25
8,iron_sword,8,weapon,epic,"{""attackBonus"":15.6}",0.15
9,iron_sword,9,weapon,legendary,"{""attackBonus"":18}",0.05
10,iron_sword,10,weapon,mythic,"{""attackBonus"":24}",0.01
11,steel_sword,11,weapon,common,"{""attackBonus"":30}",0.3
12,steel_sword,12,weapon,rare,"{""attackBonus"":34.5}",0.25
13,steel_sword,13,weapon,epic,"{""attackBonus"":39}",0.15
14,steel_sword,14,weapon,legendary,"{""attackBonus"":45}",0.05
15,steel_sword,15,weapon,mythic,"{""attackBonus"":60}",0.01
16,gold_sword,16,weapon,common,"{""attackBonus"":70}",0.3
17,gold_sword,17,weapon,rare,"{""attackBonus"":80.5}",0.25
18,gold_sword,18,weapon,epic,"{""attackBonus"":91}",0.15
19,gold_sword,19,weapon,legendary,"{""attackBonus"":105}",0.05
20,gold_sword,20,weapon,mythic,"{""attackBonus"":140}",0.01
21,mythril_sword,21,weapon,common,"{""attackBonus"":150}",0.3
22,mythril_sword,22,weapon,rare,"{""attackBonus"":172.5}",0.25
23,mythril_sword,23,weapon,epic,"{""attackBonus"":195}",0.15
24,mythril_sword,24,weapon,legendary,"{""attackBonus"":225}",0.05
25,mythril_sword,25,weapon,mythic,"{""attackBonus"":300}",0.01
26,bronze_armor,1,armor,common,"{""defenseBonus"":2}",0.3
27,bronze_armor,2,armor,rare,"{""defenseBonus"":2.3}",0.25
